WORDS,CHATGPT,OED,DEF_YEAR,OLD_DEF,NEW_DEF
time,0,0,1398,,
man,1,1,1963,Male human being,Manly man
years,1,0,Old English,Old meaning 365 days,Any time period
part,1,1,1864,piece,role
way,1,1,1850,method,part
life,1,1,1843,alive,philosophical
people,1,1,1475,individual,group
work,1,1,1973,Physical ,any job
world,1,1,1589,Earth,entirety of existence
states,1,1,1590,state,US
state,0,0,1615,,
day,1,1,1839,day,back in the day
united,0,0,1552,,
men,1,1,1979,males,little gender neutral
number,0,0,1325,,
case,1,1,1859,container,situation
fact,0,0,1600,,
use,0,0,1250,,
york,0,1,1960,,
place,0,0,1793,,
end,1,0,1616,extermity,goal/result-abstract
year,0,0,Old English,,
war,0,0,1687,,
government,0,0,1400,,
order,0,0,1840,,
law,0,0,1598,,
point,0,0,1832,,
country,0,0,1300,,
hand,0,0,1440,,
god,0,0,1574,,
course,0,1,1887,,of course
power,0,0,1713,,
house,0,1,1986,,dance
water,0,0,1382,,
system,0,0,1580,,
form,0,0,1575,,
side,0,1,1913,,
act,0,0,1972,,
children,0,0,Old English,,
history,0,0,1475,,
university,0,0,1680,,
century,0,0,1611,,
things,0,1,1883,,
nature,0,0,1694,,
question,0,0,1470,,
means,0,1,1938,,mean person
matter,0,0,1895,,
period,0,0,1595,,
court,0,0,1666,,
mind,0,0,1881,,
nothing,0,0,1637,,
days,1,0,1839,,
development,0,0,1724,,
value,0,0,1434,,
school,0,0,1695,,
cent,0,0,1809,,
view,0,0,1570,,
city,0,0,1225,,
interest,0,0,1608,,
subject,0,0,1382,,
example,0,0,1393,,
body,0,0,1700,,
person,0,0,1548,,
book,0,0,1530,,
study,0,0,1530,,
company,0,1,1927,,
times,1,1,1877,instance,abstract
name,0,0,1400,,
effect,0,0,1581,,
head,0,1,1959,,headlight
thing,0,1,1883,,
result,0,0,1626,,
land,0,1,1920,,
cases,0,0,1859,,
reason,0,0,1736,,
women,0,0,Old English,,
church,0,1,1939,,
members,0,0,1823,,
age,0,0,1440,,
sense,0,0,1763,,
amount,0,0,1450,,
society,0,0,1513,,
others,0,0,1810,,
death,0,1,1979,,
something,0,1,1859,,
home,0,0,1836,,
position,0,0,1647,,
light,0,0,1871,,
education,0,0,1527,,
words,0,0,Old English,,
change,0,0,1225,,
room,0,0,1867,,
line,0,0,1796,,
london,0,0,1475,,
father,0,0,1425,,
money,0,0,1895,,
child,0,0,1175,,
business,0,0,Old English,,
press,0,0,1794,,
family,0,0,1388,,
south,0,0,1784,,
england,0,0,1475,,
rate,0,0,1883,,
action,0,0,1734,,
problem,0,0,1645,,
account,0,0,1300,,
party,0,0,1586,,
purpose,0,0,1425,,
face,0,0,1440,,
knowledge,0,0,1797,,
kind,0,0,1786,,
king,0,0,1425,,
conditions,0,0,1513,,
group,0,0,1706,,
section,0,0,1819,,
love,0,0,1865,,
process,0,0,1814,,
hands,0,0,1440,,
terms,0,0,1475,,
word,0,0,1500,,
north,0,0,1850,,
air,0,0,1706,,
office,0,1,1968,,
night,0,0,1393,,
eyes,0,0,1818,,
force,0,0,1847,,
service,0,0,1602,,
feet,0,0,1362,,
control,0,0,1564,,
president,0,0,1808,,
parts,0,1,1864,,
information,0,0,1387,,
increase,0,0,1374,,
cause,0,0,1845,,
america,0,0,1631,,
table,0,0,1450,,
moment,0,0,1661,,
mother,0,0,1697,,
property,0,0,1897,,
idea,0,0,1638,,
evidence,0,0,1601,,
chapter,0,0,1485,,
west,0,0,1613,,
basis,0,0,1560,,
heart,0,0,Old English,,
extent,0,0,1664,,
woman,0,0,1611,,
beginning,0,0,1576,,
results,0,0,1626,,
rest,0,0,1475,,
anything,0,0,Old English,,
manner,0,0,1532,,
level,0,0,1552,,
middle,0,0,1384,,
care,0,0,1849,,
field,0,1,1865,,
class,0,0,1642,,
lord,0,0,1393,,
committee,0,0,1742,,
attention,0,0,1374,,
surface,0,0,1775,,
area,0,0,1749,,
policy,0,1,1857,,
ground,0,0,1794,,
months,0,1,1887,,
difference,0,0,1661,,
experience,0,0,1541,,
trade,0,0,1546,,
east,0,1,1900,,
board,0,0,1460,,
council,0,0,1225,,
member,0,0,1823,,
importance,0,0,1485,,
population,0,0,1656,,
son,0,1,1918,,
method,0,0,1607,,
union,0,0,1475,,
degree,0,0,1614,,
letter,0,0,1616,,
problems,0,0,1645,,
deal,0,0,1613,,
department,0,1,1885,,
countries,0,0,1300,,
direction,0,0,1407,,
opinion,0,0,1555,,
term,0,0,1475,,
influence,0,0,1658,,
return,0,0,1413,,
future,0,0,1642,,
theory,0,0,1727,,
earth,0,0,1450,,
cost,0,0,1598,,
art,0,0,1602,,
blood,0,0,1522,,
john,0,0,1392,,
character,0,0,1555,,
situation,0,0,1425,,
france,0,0,Old English,,
wife,0,0,Old English,,
production,1,1,1450,,
hours,0,0,1250,,
sea,0,0,1839,,
respect,0,0,1487,,
health,0,0,1628,,
science,0,0,1350,,
c,0,1,1975,,
peace,0,0,1686,,
report,0,0,1425,,
changes,0,0,1225,,
solution,0,1,1891,,
story,0,0,1692,,
truth,0,0,1250,,
doubt,0,0,1611,,
rights,0,0,1450,,
spirit,0,0,1598,,
size,0,0,1659,,
